movie_id,actor_id
53125,0
53125,1
53125,2
52357,3
52357,4
52357,5
54215,6
54215,7
54215,8
84787,9
84787,10
84787,11
795421,12
795421,13
795421,14
1131734,15
1131734,14
1131734,16
989757,17
989757,14
989757,18
110912,19
110912,20
110912,21
80979,22
80979,23
80979,24
89881,22
89881,25
89881,26
56058,22
56058,27
56058,28
58279,29
58279,30
58279,31
58430,32
58430,33
58430,34
2334873,35
2334873,36
2334873,37
457513,38
457513,39
457513,40
63522,41
63522,42
63522,43
71315,44
71315,45
71315,46
1605783,47
1605783,48
1605783,49
338751,50
338751,35
338751,51
88680,52
88680,53
88680,54
70379,55
70379,56
70379,57
99685,55
99685,58
99685,59
1302006,55
1302006,59
1302006,60
113277,60
113277,61
113277,55
369339,62
369339,63
369339,64
112641,55
112641,65
112641,59
252076,66
252076,67
252076,68
88847,69
88847,70
88847,71
98554,72
98554,73
98554,74
93748,75
93748,76
93748,72
88128,71
88128,77
88128,78
120176,75
120176,79
120176,80
57413,81
57413,82
57413,83
122690,55
122690,84
122690,85
78748,86
78748,87
78748,88
