id,studio_id,title,year
53125,1,North by Northwest,1962
52357,7,Vertigo,1958
54215,2,Psycho,1960
84787,3,The Thing,1982
795421,3,Mamma Mia!,2008
1131734,4,Jennifer's Body,2009
989757,5,Dear John,2010
110912,8,Pulp Fiction,1994
80979,0,Kagemusha,1980
89881,6,Ran,1985
56058,22,Harakiri,1962
58279,0,Kwaidan,1964
58430,24,Onibaba,1964
2334873,23,Blue Jasmine,2013
457513,21,Scoop,2006
63522,9,Rosemary's Baby,1968
71315,16,Chinatown,1974
1605783,10,Midnight in Paris,2011
338751,11,The Aviator,2004
88680,12,After Hours,1985
70379,14,Mean Streets,1973
99685,14,Goodfellas,1990
1302006,13,The Irishman,2019
113277,14,Heat,1995
369339,16,Collateral,2004
112641,3,Casino,1995
252076,15,Maid in Manhattan,2002
88847,3,The Breakfast Club,1985
98554,3,Uncle Buck,1989
93748,16,"Planes, Trains & Automobiles",1987
88128,3,Sixteen Candles,1984
120176,17,The Spanish Prisoner,1997
57413,18,The Pink Panther,1963
122690,19,Ronin,1998
78748,20,Alien,1979
