id,name
0,Toho Company
1,MGM
2,Shamley Productions
3,Universal Pictures
4,Fox Atomic
5,Screen Gems
6,Greenwich Film Productions
7,Alfred J. Hitchcock Productions
8,Miramax
9,William Castle Productions
10,Media Pro
11,Forward Pass
12,The Geffen Company
13,Tribeca Productions
14,Warner Bros.
15,Revolution Studios
16,Paramount Pictures
17,Jasmine Productions Inc.
18,Mirisch G-E Productions
19,FGM Entertainment
20,Brandywine Productions
21,BBC Films
22,Shochiku
23,Gravier Productions
24,Kindai Eiga Kyokai
